name,name_short
Volkspartij voor Vrijheid en Democratie,VVD
Partij van de Arbeid,PvdA
Socialistische Partij,SP
Christen Democratisch Appel,CDA
Partij voor de vrijheid,PVV
Democraten 66,D66
ChristenUnie,CU
GroenLinks,GL
Staatkundig Gereformeerde Partij,SGP
Partij voor de dieren,PvdD
50PLUS,50PLUS
Groep Kuzu/Öztürk,GrKÖ
Groep Bontes/van Klaveren,GrBvK
Houwers,Houwers
Klein,Klein
Van Vliet,Van Vliet
Monasch,Monasch
