datum gepubliceerd,dossier nr,dossier toevoeging,kamerstuk volgnummer,url,commissie
2011-01-06,21501,32,428,https://zoek.officielebekendmakingen.nl/kst-21501-32-428,vaste commissie voor Economische Zaken, Landbouw en Innovatie
2011-01-06,21501,02,1014,https://zoek.officielebekendmakingen.nl/kst-21501-02-1014,vaste commissie voor Buitenlandse Zaken
2011-01-10,22026,,325,https://zoek.officielebekendmakingen.nl/kst-22026-325,vaste commissie voor Infrastructuur en Milieu
2011-01-10,31142,,27,https://zoek.officielebekendmakingen.nl/kst-31142-27,vaste commissie voor Binnenlandse Zaken
2011-01-10,32500,VI,75,https://zoek.officielebekendmakingen.nl/kst-32500-VI-75,vaste commissie voor Veiligheid en Justitie
2011-01-10,29453,,181,https://zoek.officielebekendmakingen.nl/kst-29453-181,vaste commissie voor Binnenlandse Zaken
2011-01-11,29517,,45,https://zoek.officielebekendmakingen.nl/kst-29517-45,vaste commissie voor Veiligheid en Justitie
2011-01-11,31755,,42,https://zoek.officielebekendmakingen.nl/kst-31755-42,vaste commissie voor Infrastructuur en Milieu
2011-01-11,29247,,139,https://zoek.officielebekendmakingen.nl/kst-29247-139,vaste commissie voor Volksgezondheid, Welzijn en Sport
2011-01-17,30545,,101,https://zoek.officielebekendmakingen.nl/kst-30545-101,vaste commissie voor Sociale Zaken en Werkgelegenheid
2011-01-17,24095,,268,https://zoek.officielebekendmakingen.nl/kst-24095-268,vaste commissie voor Economische Zaken, Landbouw en Innovatie
2011-01-17,23987,,114,https://zoek.officielebekendmakingen.nl/kst-23987-114,vaste commissie voor Europese Zaken
2011-01-17,27924,,49,https://zoek.officielebekendmakingen.nl/kst-27924-49,vaste commissie voor Economische Zaken, Landbouw en Innovatie
2011-01-18,24587,,412,https://zoek.officielebekendmakingen.nl/kst-24587-412,vaste commissie voor Veiligheid en Justitie
2011-01-18,29344,,78,https://zoek.officielebekendmakingen.nl/kst-29344-78,algemene commissie voor Immigratie en Asiel
2011-01-18,32262,,5,https://zoek.officielebekendmakingen.nl/kst-32262-5,vaste commissie voor Economische Zaken, Landbouw en Innovatie
2011-01-20,32500,VII,80,https://zoek.officielebekendmakingen.nl/kst-32500-VII-80,vaste commissie voor Binnenlandse Zaken
2011-01-21,21501,08,348,https://zoek.officielebekendmakingen.nl/kst-21501-08-348,vaste commissie voor Infrastructuur en Milieu
2011-01-24,27562,,60,https://zoek.officielebekendmakingen.nl/kst-27562-60,vaste commissie voor Binnenlandse Zaken
2011-01-24,29521,,157,https://zoek.officielebekendmakingen.nl/kst-29521-157,vaste commissie voor Buitenlandse Zaken
2011-01-25,21501,20,497,https://zoek.officielebekendmakingen.nl/kst-21501-20-497,vaste commissie voor Europese Zaken
2011-01-25,29754,,198,https://zoek.officielebekendmakingen.nl/kst-29754-198,vaste commissie voor Veiligheid en Justitie
2011-01-27,31532,,54,https://zoek.officielebekendmakingen.nl/kst-31532-54,vaste commissie voor Economische Zaken, Landbouw en Innovatie
2011-01-27,31066,,100,https://zoek.officielebekendmakingen.nl/kst-31066-100,vaste commissie voor Financiën
2011-02-04,27925,,424,https://zoek.officielebekendmakingen.nl/kst-27925-424,vaste commissie voor Buitenlandse Zaken
2011-02-04,27925,,423,https://zoek.officielebekendmakingen.nl/kst-27925-423,vaste commissie voor Buitenlandse Zaken
2011-02-07,31765,,32,https://zoek.officielebekendmakingen.nl/kst-31765-32,vaste commissie voor Volksgezondheid, Welzijn en Sport
2011-02-07,24515,,197,https://zoek.officielebekendmakingen.nl/kst-24515-197,vaste commissie voor Sociale Zaken en Werkgelegenheid
2011-02-07,29502,,59,https://zoek.officielebekendmakingen.nl/kst-29502-59,vaste commissie voor Economische Zaken, Landbouw en Innovatie
2011-02-08,29628,,235,https://zoek.officielebekendmakingen.nl/kst-29628-235,vaste commissie voor Veiligheid en Justitie
2011-02-08,32317,,33,https://zoek.officielebekendmakingen.nl/kst-32317-33,vaste commissie voor Veiligheid en Justitie
2011-02-08,31839,,82,https://zoek.officielebekendmakingen.nl/kst-31839-82,vaste commissie voor Veiligheid en Justitie
2011-02-08,21501,07,777,https://zoek.officielebekendmakingen.nl/kst-21501-07-777,vaste commissie voor Financiën
2011-02-08,31143,,87,https://zoek.officielebekendmakingen.nl/kst-31143-87,vaste commissie voor Binnenlandse Zaken
2011-02-09,27529,,71,https://zoek.officielebekendmakingen.nl/kst-27529-71,vaste commissie voor Volksgezondheid, Welzijn en Sport
2011-02-09,32011,,15,https://zoek.officielebekendmakingen.nl/kst-32011-15,vaste commissie voor Volksgezondheid, Welzijn en Sport
2011-02-10,27923,,108,https://zoek.officielebekendmakingen.nl/kst-27923-108,vaste commissie voor Onderwijs, Cultuur en Wetenschap
2011-02-10,32175,,16,https://zoek.officielebekendmakingen.nl/kst-32175-16,algemene commissie voor Immigratie en Asiel
2011-02-10,32501,,10,https://zoek.officielebekendmakingen.nl/kst-32501-10,vaste commissie voor Binnenlandse Zaken
2011-02-14,30523,,49,https://zoek.officielebekendmakingen.nl/kst-30523-49,vaste commissie voor Infrastructuur en Milieu
2011-02-14,19637,,1396,https://zoek.officielebekendmakingen.nl/kst-19637-1396,algemene commissie voor Immigratie en Asiel
2011-02-14,31311,,63,https://zoek.officielebekendmakingen.nl/kst-31311-63,vaste commissie voor Sociale Zaken en Werkgelegenheid
2011-02-14,24515,,199,https://zoek.officielebekendmakingen.nl/kst-24515-199,vaste commissie voor Sociale Zaken en Werkgelegenheid
2011-02-15,31765,,33,https://zoek.officielebekendmakingen.nl/kst-31765-33,vaste commissie voor Volksgezondheid, Welzijn en Sport
2011-02-15,28165,,118,https://zoek.officielebekendmakingen.nl/kst-28165-118,vaste commissie voor Financiën
2011-02-18,23645,,414,https://zoek.officielebekendmakingen.nl/kst-23645-414,vaste commissie voor Infrastructuur en Milieu
2011-02-20,21501,32,435,https://zoek.officielebekendmakingen.nl/kst-21501-32-435,vaste commissie voor Economische Zaken, Landbouw en Innovatie
2011-02-22,30995,,88,https://zoek.officielebekendmakingen.nl/kst-30995-88,vaste commissie voor Binnenlandse Zaken
2011-02-22,31839,,86,https://zoek.officielebekendmakingen.nl/kst-31839-86,algemene commissie Jeugdzorg
2011-02-22,29023,,82,https://zoek.officielebekendmakingen.nl/kst-29023-82,vaste commissie voor Economische Zaken, Landbouw en Innovatie
2011-02-22,32432,,15,https://zoek.officielebekendmakingen.nl/kst-32432-15,vaste commissie voor Financiën
2011-02-22,31765,,34,https://zoek.officielebekendmakingen.nl/kst-31765-34,vaste commissie voor Volksgezondheid, Welzijn en Sport
2011-02-24,28286,,492,https://zoek.officielebekendmakingen.nl/kst-28286-492,vaste commissie voor Economische Zaken, Landbouw en Innovatie
2011-03-04,30950,,22,https://zoek.officielebekendmakingen.nl/kst-30950-22,vaste commissie voor Binnenlandse Zaken
2011-03-04,32500,VI,85,https://zoek.officielebekendmakingen.nl/kst-32500-VI-85,vaste commissie voor Veiligheid en Justitie
2011-03-04,30388,,49,https://zoek.officielebekendmakingen.nl/kst-30388-49,vaste commissie voor Veiligheid en Justitie
