datum gepubliceerd,dossier nr,dossier toevoeging,kamerstuk volgnummer,url
2008-06-19,21501,07,613,https://zoek.officielebekendmakingen.nl/kst-21501-07-613,vaste commissie voor Financiën
2008-06-20,29509,,21,https://zoek.officielebekendmakingen.nl/kst-29509-21,vaste commissie voor Volksgezondheid, Welzijn en Sport
2008-08-11,21501,07,618,https://zoek.officielebekendmakingen.nl/kst-21501-07-618,vaste commissie voor Europese Zaken
2008-08-25,29247,,78,https://zoek.officielebekendmakingen.nl/kst-29247-78,vaste commissie voor Volksgezondheid, Welzijn en Sport
2008-08-28,29507,,66,https://zoek.officielebekendmakingen.nl/kst-29507-66,vaste commissie voor Financiën
2008-08-28,31200,XI,141,https://zoek.officielebekendmakingen.nl/kst-31200-XI-141,vaste commissie voor Infrastructuur en Milieu
2008-08-28,29507,,67,https://zoek.officielebekendmakingen.nl/kst-29507-67,vaste commissie voor Financiën
2008-08-28,31200,III,17,https://zoek.officielebekendmakingen.nl/kst-31200-III-17,vaste commissie voor Binnenlandse Zaken
2008-09-01,31200,V,152,https://zoek.officielebekendmakingen.nl/kst-31200-V-152,Vaste commissie voor Buitenlandse Zaken
2008-09-01,29452,,93,https://zoek.officielebekendmakingen.nl/kst-29452-93,Vaste commissie voor Justitie
2008-09-01,25268,,68,https://zoek.officielebekendmakingen.nl/kst-25268-68,vaste commissie voor Buitenlandse Zaken
2008-09-01,28286,,228,https://zoek.officielebekendmakingen.nl/kst-28286-228,vaste commissie voor Economische Zaken, Landbouw en Innovatie
2008-09-01,31200,XIV,234,https://zoek.officielebekendmakingen.nl/kst-31200-XIV-234,Vaste commissie voor Landbouw, Natuur en Voedselkwaliteit
2008-09-01,30825,,13,https://zoek.officielebekendmakingen.nl/kst-30825-13,vaste commissie voor Landbouw, Natuur en Voedselkwaliteit
2008-09-01,21501,32,296,https://zoek.officielebekendmakingen.nl/kst-21501-32-296,Vaste commissie voor Landbouw, Natuur en Voedselkwaliteit
2008-09-01,31250,,24,https://zoek.officielebekendmakingen.nl/kst-31250-24,vaste commissie voor Buitenlandse Zaken
2008-09-01,31200,V,151,https://zoek.officielebekendmakingen.nl/kst-31200-V-151,vaste commissie voor Buitenlandse Zaken
2008-09-01,29576,,71,https://zoek.officielebekendmakingen.nl/kst-29576-71,vaste commissie voor Landbouw, Natuur en Voedselkwaliteit
2008-09-01,27925,,321,https://zoek.officielebekendmakingen.nl/kst-27925-321,vaste commissie voor Defensie
2008-09-02,26991,,222,https://zoek.officielebekendmakingen.nl/kst-26991-222,vaste commissie voor Economische Zaken, Landbouw en Innovatie
2008-09-03,29214,,34,https://zoek.officielebekendmakingen.nl/kst-29214-34,vaste commissie voor Volksgezondheid, Welzijn en Sport
2008-09-03,29521,,80,https://zoek.officielebekendmakingen.nl/kst-29521-80,vaste commissie voor Buitenlandse Zaken
2008-09-03,29521,,81,https://zoek.officielebekendmakingen.nl/kst-29521-81,vaste commissie voor Buitenlandse Zaken
2008-09-04,30892,,15,https://zoek.officielebekendmakingen.nl/kst-30892-15,vaste commissie voor Economische Zaken, Landbouw en Innovatie
2008-09-04,22112,,667,https://zoek.officielebekendmakingen.nl/kst-22112-667,vaste commissie voor Europese Zaken
2008-09-04,25437,,63,https://zoek.officielebekendmakingen.nl/kst-25437-63,vaste commissie voor Justitie
2008-09-09,31200,VII,76,https://zoek.officielebekendmakingen.nl/kst-31200-VII-76,vaste commissie voor Binnenlandse Zaken
2008-09-16,31305,,74,https://zoek.officielebekendmakingen.nl/kst-31305-74,vaste commissie voor Verkeer en Waterstaat
2008-09-16,30977,,12,https://zoek.officielebekendmakingen.nl/kst-30977-12,vaste commissie voor Binnenlandse Zaken en Koninkrijksrelaties
2008-09-16,21501,07,621,https://zoek.officielebekendmakingen.nl/kst-21501-07-621,vaste commissie voor Financiën
2008-09-16,29507,,69,https://zoek.officielebekendmakingen.nl/kst-29507-69,Vaste commissie voor Financiën
2008-09-16,25268,,69,https://zoek.officielebekendmakingen.nl/kst-25268-69,vaste commissie voor Binnenlandse Zaken en Koninkrijksrelaties
2008-09-16,25847,,63,https://zoek.officielebekendmakingen.nl/kst-25847-63,vaste commissie voor Verkeer en Waterstaat
2008-09-18,23987,,90,https://zoek.officielebekendmakingen.nl/kst-23987-90,vaste commissie voor Europese Zaken
2008-09-18,21501,02,848,https://zoek.officielebekendmakingen.nl/kst-21501-02-848,vaste commissie voor Europese Zaken
2008-09-18,31368,,5,https://zoek.officielebekendmakingen.nl/kst-31368-5,vaste commissie voor Onderwijs, Cultuur en Wetenschap
2008-09-18,26643,,132,https://zoek.officielebekendmakingen.nl/kst-26643-132,vaste commissie voor Economische Zaken
2008-09-18,28625,,61,https://zoek.officielebekendmakingen.nl/kst-28625-61,vaste commissie voor Landbouw, Natuur en Voedselkwaliteit
2008-09-19,28479,,37,https://zoek.officielebekendmakingen.nl/kst-28479-37,vaste commissie voor Binnenlandse Zaken en Koninkrijksrelaties
2008-09-19,27926,,128,https://zoek.officielebekendmakingen.nl/kst-27926-128,algemene commissie voor Wonen, Wijken en Integratie
2008-09-19,21501,31,155,https://zoek.officielebekendmakingen.nl/kst-21501-31-155,vaste commissie voor Volksgezondheid, Welzijn en Sport
2008-09-22,31700,X,5,https://zoek.officielebekendmakingen.nl/kst-31700-X-5,vaste commissie voor Defensie
2008-09-23,21501,02,849,https://zoek.officielebekendmakingen.nl/kst-21501-02-849,vaste commissie voor Europese Zaken
