datum gepubliceerd,dossier nr,dossier toevoeging,kamerstuk volgnummer,url,commissie
2018-01-10,31524,,342,https://zoek.officielebekendmakingen.nl/kst-31524-342,vaste commissie voor Onderwijs, Cultuur en Wetenschap
2018-01-10,32824,,201,https://zoek.officielebekendmakingen.nl/kst-32824-201,vaste commissie voor Sociale Zaken en Werkgelegenheid
2018-01-10,31409,,176,https://zoek.officielebekendmakingen.nl/kst-31409-176,vaste commissie voor Infrastructuur en Waterstaat
2018-01-10,26488,,441,https://zoek.officielebekendmakingen.nl/kst-26488-441,vaste commissie voor Defensie
2018-01-10,27859,,120,https://zoek.officielebekendmakingen.nl/kst-27859-120,vaste commissie voor Binnenlandse Zaken
2018-01-10,29282,,300,https://zoek.officielebekendmakingen.nl/kst-29282-300,vaste commissie voor Volksgezondheid, Welzijn en Sport
2018-01-19,24077,,407,https://zoek.officielebekendmakingen.nl/kst-24077-407,vaste commissie voor Justitie en Veiligheid
2018-01-19,26643,,512,https://zoek.officielebekendmakingen.nl/kst-26643-512,vaste commissie voor Binnenlandse Zaken
2018-01-19,27925,,626,https://zoek.officielebekendmakingen.nl/kst-27925-626,vaste commissie voor Buitenlandse Zaken
2018-01-19,29398,,576,https://zoek.officielebekendmakingen.nl/kst-29398-576,vaste commissie voor Infrastructuur en Waterstaat
2018-01-19,22112,,2463,https://zoek.officielebekendmakingen.nl/kst-22112-2463,vaste commissie voor Infrastructuur en Waterstaat
2018-01-19,29754,,437,https://zoek.officielebekendmakingen.nl/kst-29754-437,vaste commissie voor Justitie en Veiligheid
2018-01-19,30175,,283,https://zoek.officielebekendmakingen.nl/kst-30175-283,vaste commissie voor Infrastructuur en Waterstaat
2018-01-19,25422,,215,https://zoek.officielebekendmakingen.nl/kst-25422-215,vaste commissie voor Infrastructuur en Waterstaat
2018-01-19,31066,,394,https://zoek.officielebekendmakingen.nl/kst-31066-394,vaste commissie voor Financiën
2018-01-19,19637,,2365,https://zoek.officielebekendmakingen.nl/kst-19637-2365,vaste commissie voor Justitie en Veiligheid
2018-01-19,29628,,755,https://zoek.officielebekendmakingen.nl/kst-29628-755,vaste commissie voor Justitie en Veiligheid
2018-01-23,29517,,137,https://zoek.officielebekendmakingen.nl/kst-29517-137,vaste commissie voor Justitie en Veiligheid
2018-01-23,31765,,293,https://zoek.officielebekendmakingen.nl/kst-31765-293,vaste commissie voor Volksgezondheid, Welzijn en Sport
2018-01-31,21501,07,1483,https://zoek.officielebekendmakingen.nl/kst-21501-07-1483,vaste commissie voor Financiën
2018-01-31,23645,,656,https://zoek.officielebekendmakingen.nl/kst-23645-656,vaste commissie voor Infrastructuur en Waterstaat
2018-01-31,29023,,229,https://zoek.officielebekendmakingen.nl/kst-29023-229,vaste commissie voor Economische Zaken en Klimaat
2018-02-08,23987,,215,https://zoek.officielebekendmakingen.nl/kst-23987-215,vaste commissie voor Europese Zaken
2018-02-09,28165,,280,https://zoek.officielebekendmakingen.nl/kst-28165-280,vaste commissie voor Financiën
2018-02-09,31288,,616,https://zoek.officielebekendmakingen.nl/kst-31288-616,vaste commissie voor Onderwijs, Cultuur en Wetenschap
2018-02-15,33037,,272,https://zoek.officielebekendmakingen.nl/kst-33037-272,vaste commissie voor Landbouw, Natuur en Voedselkwaliteit
2018-02-15,29383,,292,https://zoek.officielebekendmakingen.nl/kst-29383-292,vaste commissie voor Binnenlandse Zaken
2018-02-15,31265,,64,https://zoek.officielebekendmakingen.nl/kst-31265-64,vaste commissie voor Justitie en Veiligheid
2018-02-15,28089,,66,https://zoek.officielebekendmakingen.nl/kst-28089-66,vaste commissie voor Infrastructuur en Waterstaat
2018-02-16,34104,,206,https://zoek.officielebekendmakingen.nl/kst-34104-206,vaste commissie voor Volksgezondheid, Welzijn en Sport
2018-02-16,32317,,505,https://zoek.officielebekendmakingen.nl/kst-32317-505,vaste commissie voor Justitie en Veiligheid
2018-02-16,31936,,459,https://zoek.officielebekendmakingen.nl/kst-31936-459,vaste commissie voor Infrastructuur en Waterstaat
2018-02-16,29684,,158,https://zoek.officielebekendmakingen.nl/kst-29684-158,vaste commissie voor Infrastructuur en Waterstaat
2018-02-16,34773,,9,https://zoek.officielebekendmakingen.nl/kst-34773-9,vaste commissie voor Koninkrijksrelaties
2018-02-16,21501,32,1092,https://zoek.officielebekendmakingen.nl/kst-21501-32-1092,vaste commissie voor Landbouw, Natuur en Voedselkwaliteit
2018-02-16,32317,,506,https://zoek.officielebekendmakingen.nl/kst-32317-506,vaste commissie voor Justitie en Veiligheid
2018-02-26,32034,,30,https://zoek.officielebekendmakingen.nl/kst-32034-30,vaste commissie voor Onderwijs, Cultuur en Wetenschap
2018-02-26,31568,,197,https://zoek.officielebekendmakingen.nl/kst-31568-197,vaste commissie voor Justitie en Veiligheid
2018-02-26,34856,,5,https://zoek.officielebekendmakingen.nl/kst-34856-5,vaste commissie voor Financiën
2018-02-26,29984,,750,https://zoek.officielebekendmakingen.nl/kst-29984-750,vaste commissie voor Infrastructuur en Waterstaat
2018-02-26,32847,,331,https://zoek.officielebekendmakingen.nl/kst-32847-331,vaste commissie voor Binnenlandse Zaken
2018-02-28,32813,,164,https://zoek.officielebekendmakingen.nl/kst-32813-164,vaste commissie voor Economische Zaken en Klimaat
2018-02-28,31289,,361,https://zoek.officielebekendmakingen.nl/kst-31289-361,vaste commissie voor Onderwijs, Cultuur en Wetenschap
2018-02-28,29689,,890,https://zoek.officielebekendmakingen.nl/kst-29689-890,vaste commissie voor Volksgezondheid, Welzijn en Sport
2018-02-28,34647,,12,https://zoek.officielebekendmakingen.nl/kst-34647-12,vaste commissie voor Economische Zaken en Klimaat
2018-02-28,32824,,205,https://zoek.officielebekendmakingen.nl/kst-32824-205,vaste commissie voor Sociale Zaken en Werkgelegenheid
2018-02-28,21501,02,1835,https://zoek.officielebekendmakingen.nl/kst-21501-02-1835,vaste commissie voor Buitenlandse Zaken
2018-03-08,33009,,61,https://zoek.officielebekendmakingen.nl/kst-33009-61,vaste commissie voor Economische Zaken en Klimaat
2018-03-09,34352,,86,https://zoek.officielebekendmakingen.nl/kst-34352-86,vaste commissie voor Sociale Zaken en Werkgelegenheid
2018-03-09,32013,,167,https://zoek.officielebekendmakingen.nl/kst-32013-167,vaste commissie voor Financiën
2018-03-09,28286,,968,https://zoek.officielebekendmakingen.nl/kst-28286-968,vaste commissie voor Landbouw, Natuur en Voedselkwaliteit
2018-03-09,24036,,428,https://zoek.officielebekendmakingen.nl/kst-24036-428,vaste commissie voor Economische Zaken en Klimaat
2018-03-09,29279,,415,https://zoek.officielebekendmakingen.nl/kst-29279-415,vaste commissie voor Justitie en Veiligheid
2018-03-12,33835,,76,https://zoek.officielebekendmakingen.nl/kst-33835-76,vaste commissie voor Landbouw, Natuur en Voedselkwaliteit
