datum gepubliceerd,dossier nr,dossier toevoeging,kamerstuk volgnummer,url,commissie
2015-02-16,31936,,257,https://zoek.officielebekendmakingen.nl/kst-31936-257,"vaste commissie voor Infrastructuur en Milieu"
2015-02-16,22054,,259,https://zoek.officielebekendmakingen.nl/kst-22054-259,"algemene commissie voor Buitenlandse Handel en Ontwikkelingssamenwerking"
2015-02-17,32660,,62,https://zoek.officielebekendmakingen.nl/kst-32660-62,"vaste commissie voor Infrastructuur en Milieu"
2015-02-17,29325,,72,https://zoek.officielebekendmakingen.nl/kst-29325-72,"vaste commissie voor Volksgezondheid, Welzijn en Sport"
2015-02-17,26488,,371,https://zoek.officielebekendmakingen.nl/kst-26488-371,"vaste commissie voor Defensie"
2015-02-17,31497,,149,https://zoek.officielebekendmakingen.nl/kst-31497-149,"vaste commissie voor Onderwijs, Cultuur en Wetenschap"
2015-02-17,23987,,151,https://zoek.officielebekendmakingen.nl/kst-23987-151,"vaste commissie voor Europese Zaken"
2015-02-17,27925,,529,https://zoek.officielebekendmakingen.nl/kst-27925-529,"vaste commissie voor Defensie"
2015-02-17,21501,02,1456,https://zoek.officielebekendmakingen.nl/kst-21501-02-1456,"vaste commissie voor Buitenlandse Zaken"
2015-02-17,27926,,244,https://zoek.officielebekendmakingen.nl/kst-27926-244,"algemene commissie voor Wonen en Rijksdienst"
2015-02-17,21501,02,1457,https://zoek.officielebekendmakingen.nl/kst-21501-02-1457,"vaste commissie voor Europese Zaken"
2015-02-17,30169,,39,https://zoek.officielebekendmakingen.nl/kst-30169-39,"vaste commissie voor Volksgezondheid, Welzijn en Sport"
2015-02-17,22452,,43,https://zoek.officielebekendmakingen.nl/kst-22452-43,"vaste commissie voor Onderwijs, Cultuur en Wetenschap"
2015-02-17,32299,,40,https://zoek.officielebekendmakingen.nl/kst-32299-40,"vaste commissie voor Volksgezondheid, Welzijn en Sport"
2015-02-17,29521,,285,https://zoek.officielebekendmakingen.nl/kst-29521-285,"vaste commissie voor Defensie"
2015-02-17,34104,,18,https://zoek.officielebekendmakingen.nl/kst-34104-18,"vaste commissie voor Volksgezondheid, Welzijn en Sport"
2015-02-17,31532,,147,https://zoek.officielebekendmakingen.nl/kst-31532-147,"vaste commissie voor Economische Zaken"
2015-02-17,34000,IV,34,https://zoek.officielebekendmakingen.nl/kst-34000-IV-34,"vaste commissie voor Koninkrijksrelaties"
2015-02-17,25928,,71,https://zoek.officielebekendmakingen.nl/kst-25928-71,"vaste commissie voor Defensie"
2015-02-26,34000,IX,23,https://zoek.officielebekendmakingen.nl/kst-34000-IX-23,"vaste commissie voor Sociale Zaken en Werkgelegenheid"
2015-02-26,32820,,130,https://zoek.officielebekendmakingen.nl/kst-32820-130,"vaste commissie voor Onderwijs, Cultuur en Wetenschap"
2015-02-26,31460,,52,https://zoek.officielebekendmakingen.nl/kst-31460-52,"vaste commissie voor Defensie"
2015-02-26,21501,02,1460,https://zoek.officielebekendmakingen.nl/kst-21501-02-1460,"vaste commissie voor Buitenlandse Zaken"
2015-02-26,32175,,55,https://zoek.officielebekendmakingen.nl/kst-32175-55,"vaste commissie voor Veiligheid en Justitie"
2015-03-02,31293,,245,https://zoek.officielebekendmakingen.nl/kst-31293-245,"vaste commissie voor Onderwijs, Cultuur en Wetenschap"
2015-03-02,31409,,73,https://zoek.officielebekendmakingen.nl/kst-31409-73,"vaste commissie voor Infrastructuur en Milieu"
2015-03-02,27925,,531,https://zoek.officielebekendmakingen.nl/kst-27925-531,"vaste commissie voor Buitenlandse Zaken"
2015-03-02,24587,,615,https://zoek.officielebekendmakingen.nl/kst-24587-615,"vaste commissie voor Veiligheid en Justitie"
2015-03-03,30196,,297,https://zoek.officielebekendmakingen.nl/kst-30196-297,"algemene commissie voor Wonen en Rijksdienst"
2015-03-03,32847,,153,https://zoek.officielebekendmakingen.nl/kst-32847-153,"algemene commissie voor Wonen en Rijksdienst"
2015-03-03,21501,32,831,https://zoek.officielebekendmakingen.nl/kst-21501-32-831,"vaste commissie voor Economische Zaken"
2015-03-03,21501,07,1242,https://zoek.officielebekendmakingen.nl/kst-21501-07-1242,"vaste commissie voor Financiën"
2015-03-03,21501,02,1463,https://zoek.officielebekendmakingen.nl/kst-21501-02-1463,"vaste commissie voor Buitenlandse Zaken"
2015-03-03,21501,32,832,https://zoek.officielebekendmakingen.nl/kst-21501-32-832,"vaste commissie voor Economische Zaken"
2015-03-05,33450,,29,https://zoek.officielebekendmakingen.nl/kst-33450-29,"vaste commissie voor Infrastructuur en Milieu"
2015-03-05,25424,,266,https://zoek.officielebekendmakingen.nl/kst-25424-266,"vaste commissie voor Volksgezondheid, Welzijn en Sport"
2015-03-05,26643,,354,https://zoek.officielebekendmakingen.nl/kst-26643-354,"vaste commissie voor Veiligheid en Justitie"
2015-03-10,30012,,51,https://zoek.officielebekendmakingen.nl/kst-30012-51,"vaste commissie voor Onderwijs, Cultuur en Wetenschap"
2015-03-10,33763,,76,https://zoek.officielebekendmakingen.nl/kst-33763-76,"vaste commissie voor Defensie"
2015-03-10,33997,,36,https://zoek.officielebekendmakingen.nl/kst-33997-36,"vaste commissie voor Veiligheid en Justitie"
2015-03-11,28638,,131,https://zoek.officielebekendmakingen.nl/kst-28638-131,"vaste commissie voor Veiligheid en Justitie"
