datum gepubliceerd,dossier nr,dossier toevoeging,kamerstuk volgnummer,url,commissie
2012-01-02,31322,,164,https://zoek.officielebekendmakingen.nl/kst-31322-164,"vaste commissie voor Sociale Zaken en Werkgelegenheid"
2012-01-02,30495,,15,https://zoek.officielebekendmakingen.nl/kst-30495-15,"vaste commissie voor Infrastructuur en Milieu"
2012-01-02,31250,,95,https://zoek.officielebekendmakingen.nl/kst-31250-95,"vaste commissie voor Buitenlandse Zaken"
2012-01-02,33000,XVI,160,https://zoek.officielebekendmakingen.nl/kst-33000-XVI-160,"vaste commissie voor Volksgezondheid, Welzijn en Sport"
2012-01-02,30825,,147,https://zoek.officielebekendmakingen.nl/kst-30825-147,"vaste commissie voor Economische Zaken, Landbouw en Innovatie"
2012-01-02,29246,,29,https://zoek.officielebekendmakingen.nl/kst-29246-29,"vaste commissie voor Economische Zaken, Landbouw en Innovatie"
2012-01-02,23987,,121,https://zoek.officielebekendmakingen.nl/kst-23987-121,"vaste commissie voor Europese Zaken"
2012-01-03,32004,,11,https://zoek.officielebekendmakingen.nl/kst-32004-11,"vaste commissie voor Economische Zaken, Landbouw en Innovatie"
2012-01-03,32847,,11,https://zoek.officielebekendmakingen.nl/kst-32847-11,"vaste commissie voor Binnenlandse Zaken"
2012-01-03,27859,,58,https://zoek.officielebekendmakingen.nl/kst-27859-58,"vaste commissie voor Binnenlandse Zaken"
2012-01-03,21501,07,875,https://zoek.officielebekendmakingen.nl/kst-21501-07-875,"vaste commissie voor Financiën"
2012-01-04,28676,,142,https://zoek.officielebekendmakingen.nl/kst-28676-142,"vaste commissie voor Buitenlandse Zaken"
2012-01-04,21501,31,265,https://zoek.officielebekendmakingen.nl/kst-21501-31-265,"vaste commissie voor Sociale Zaken en Werkgelegenheid"
2012-01-04,32733,,54,https://zoek.officielebekendmakingen.nl/kst-32733-54,"vaste commissie voor Defensie"
2012-01-04,30825,,148,https://zoek.officielebekendmakingen.nl/kst-30825-148,"vaste commissie voor Economische Zaken, Landbouw en Innovatie"
2012-01-04,21501,28,79,https://zoek.officielebekendmakingen.nl/kst-21501-28-79,"vaste commissie voor Defensie"
2012-01-04,31839,,169,https://zoek.officielebekendmakingen.nl/kst-31839-169,"algemene commissie Jeugdzorg"
2012-01-04,30545,,110,https://zoek.officielebekendmakingen.nl/kst-30545-110,"vaste commissie voor Sociale Zaken en Werkgelegenheid"
2012-01-04,21501,33,354,https://zoek.officielebekendmakingen.nl/kst-21501-33-354,"vaste commissie voor Economische Zaken, Landbouw en Innovatie"
2012-01-05,21501,02,1113,https://zoek.officielebekendmakingen.nl/kst-21501-02-1113,"vaste commissie voor Europese Zaken"
2012-01-05,29838,,45,https://zoek.officielebekendmakingen.nl/kst-29838-45,"vaste commissie voor Veiligheid en Justitie"
2012-01-05,31753,,49,https://zoek.officielebekendmakingen.nl/kst-31753-49,"vaste commissie voor Veiligheid en Justitie"
2012-01-05,21501,33,355,https://zoek.officielebekendmakingen.nl/kst-21501-33-355,"vaste commissie voor Infrastructuur en Milieu"
2012-01-17,31757,,33,https://zoek.officielebekendmakingen.nl/kst-31757-33,"vaste commissie voor Binnenlandse Zaken"
2012-01-17,30196,,158,https://zoek.officielebekendmakingen.nl/kst-30196-158,"vaste commissie voor Infrastructuur en Milieu"
2012-01-17,28973,,88,https://zoek.officielebekendmakingen.nl/kst-28973-88,"vaste commissie voor Economische Zaken, Landbouw en Innovatie"
