datum gepubliceerd,dossier nr,dossier toevoeging,kamerstuk volgnummer,url
2014-01-14,22112,,1766,https://zoek.officielebekendmakingen.nl/kst-22112-1766,vaste commissie voor Veiligheid en Justitie
2014-01-14,33625,,69,https://zoek.officielebekendmakingen.nl/kst-33625-69,algemene commissie voor Buitenlandse Handel en Ontwikkelingssamenwerking
2014-01-14,32820,,99,https://zoek.officielebekendmakingen.nl/kst-32820-99,vaste commissie voor Onderwijs, Cultuur en Wetenschap
2014-01-14,28676,,194,https://zoek.officielebekendmakingen.nl/kst-28676-194,vaste commissie voor Buitenlandse Zaken
2014-01-14,33803,,6,https://zoek.officielebekendmakingen.nl/kst-33803-6,vaste commissie voor Financiën
2014-01-15,30169,,34,https://zoek.officielebekendmakingen.nl/kst-30169-34,vaste commissie voor Volksgezondheid, Welzijn en Sport
2014-01-15,21501,02,1318,https://zoek.officielebekendmakingen.nl/kst-21501-02-1318,vaste commissie voor Buitenlandse Zaken
2014-01-15,21501,02,1319,https://zoek.officielebekendmakingen.nl/kst-21501-02-1319,vaste commissie voor Europese Zaken
2014-01-15,32043,,194,https://zoek.officielebekendmakingen.nl/kst-32043-194,vaste commissie voor Sociale Zaken en Werkgelegenheid
2014-01-16,25847,,124,https://zoek.officielebekendmakingen.nl/kst-25847-124,vaste commissie voor Volksgezondheid, Welzijn en Sport
2014-01-16,21501,28,107,https://zoek.officielebekendmakingen.nl/kst-21501-28-107,vaste commissie voor Defensie
2014-01-16,31490,,140,https://zoek.officielebekendmakingen.nl/kst-31490-140,algemene commissie voor Wonen en Rijksdienst
2014-01-16,21501,07,1115,https://zoek.officielebekendmakingen.nl/kst-21501-07-1115,vaste commissie voor Financiën
2014-01-16,31753,,69,https://zoek.officielebekendmakingen.nl/kst-31753-69,vaste commissie voor Veiligheid en Justitie
2014-01-16,33750,VI,98,https://zoek.officielebekendmakingen.nl/kst-33750-VI-98,vaste commissie voor Veiligheid en Justitie
2014-01-16,33750,V,53,https://zoek.officielebekendmakingen.nl/kst-33750-V-53,vaste commissie voor Buitenlandse Zaken
2014-01-16,26642,,125,https://zoek.officielebekendmakingen.nl/kst-26642-125,vaste commissie voor Sociale Zaken en Werkgelegenheid
2014-01-20,32627,,15,https://zoek.officielebekendmakingen.nl/kst-32627-15,vaste commissie voor Economische Zaken
2014-01-20,26643,,303,https://zoek.officielebekendmakingen.nl/kst-26643-303,vaste commissie voor Binnenlandse Zaken
2014-01-20,32637,,105,https://zoek.officielebekendmakingen.nl/kst-32637-105,vaste commissie voor Financiën
2014-01-20,25657,,102,https://zoek.officielebekendmakingen.nl/kst-25657-102,vaste commissie voor Volksgezondheid, Welzijn en Sport
2014-01-20,32637,,104,https://zoek.officielebekendmakingen.nl/kst-32637-104,vaste commissie voor Economische Zaken
2014-01-21,28498,,32,,vaste commissie voor Buitenlandse Zaken
2014-01-22,33643,,13,https://zoek.officielebekendmakingen.nl/kst-33643-13,vaste commissie voor Economische Zaken
2014-01-22,24515,,278,https://zoek.officielebekendmakingen.nl/kst-24515-278,vaste commissie voor Sociale Zaken en Werkgelegenheid
2014-01-22,30872,,159,https://zoek.officielebekendmakingen.nl/kst-30872-159,vaste commissie voor Infrastructuur en Milieu
2014-01-22,32847,,112,https://zoek.officielebekendmakingen.nl/kst-32847-112,algemene commissie voor Wonen en Rijksdienst
2014-01-24,29911,,90,https://zoek.officielebekendmakingen.nl/kst-29911-90,vaste commissie voor Veiligheid en Justitie
2014-01-24,21501,31,328,https://zoek.officielebekendmakingen.nl/kst-21501-31-328,vaste commissie voor Volksgezondheid, Welzijn en Sport
2014-01-24,29689,,493,https://zoek.officielebekendmakingen.nl/kst-29689-493,vaste commissie voor Volksgezondheid, Welzijn en Sport
2014-01-24,21501,07,1119,https://zoek.officielebekendmakingen.nl/kst-21501-07-1119,vaste commissie voor Financiën
2014-01-27,32317,,211,https://zoek.officielebekendmakingen.nl/kst-32317-211,vaste commissie voor Veiligheid en Justitie
2014-01-27,33750,XII,66,https://zoek.officielebekendmakingen.nl/kst-33750-XII-66,vaste commissie voor Infrastructuur en Milieu
2014-01-27,33462,,9,https://zoek.officielebekendmakingen.nl/kst-33462-9,vaste commissie voor Financiën
2014-01-27,21501,31,329,https://zoek.officielebekendmakingen.nl/kst-21501-31-329,vaste commissie voor Sociale Zaken en Werkgelegenheid
2014-01-27,21501,33,459,https://zoek.officielebekendmakingen.nl/kst-21501-33-459,vaste commissie voor Infrastructuur en Milieu
2014-01-27,32013,,49,https://zoek.officielebekendmakingen.nl/kst-32013-49,vaste commissie voor Financiën
2014-01-27,21501,33,460,https://zoek.officielebekendmakingen.nl/kst-21501-33-460,vaste commissie voor Economische Zaken
2014-01-27,33750,V,56,https://zoek.officielebekendmakingen.nl/kst-33750-V-56,vaste commissie voor Buitenlandse Zaken
2014-01-28,29544,,502,https://zoek.officielebekendmakingen.nl/kst-29544-502,vaste commissie voor Sociale Zaken en Werkgelegenheid
2014-01-28,21501,33,461,https://zoek.officielebekendmakingen.nl/kst-21501-33-461,vaste commissie voor Economische Zaken
2014-01-28,21501,07,1120,https://zoek.officielebekendmakingen.nl/kst-21501-07-1120,vaste commissie voor Financiën
2014-01-28,29453,,344,https://zoek.officielebekendmakingen.nl/kst-29453-344,algemene commissie voor Wonen en Rijksdienst
2014-01-30,29664,,114,https://zoek.officielebekendmakingen.nl/kst-29664-114,vaste commissie voor Economische Zaken
2014-01-30,33546,,14,https://zoek.officielebekendmakingen.nl/kst-33546-14,vaste commissie voor Infrastructuur en Milieu
2014-01-30,33750,XII,68,https://zoek.officielebekendmakingen.nl/kst-33750-XII-68,vaste commissie voor Infrastructuur en Milieu
2014-01-30,27923,,182,https://zoek.officielebekendmakingen.nl/kst-27923-182,vaste commissie voor Onderwijs, Cultuur en Wetenschap
2014-01-30,32317,,212,https://zoek.officielebekendmakingen.nl/kst-32317-212,vaste commissie voor Veiligheid en Justitie
2014-01-30,29517,,79,https://zoek.officielebekendmakingen.nl/kst-29517-79,vaste commissie voor Veiligheid en Justitie
2014-01-30,31409,,58,https://zoek.officielebekendmakingen.nl/kst-31409-58,vaste commissie voor Infrastructuur en Milieu
2014-01-30,29279,,186,https://zoek.officielebekendmakingen.nl/kst-29279-186,vaste commissie voor Veiligheid en Justitie
2014-02-03,29338,,129,https://zoek.officielebekendmakingen.nl/kst-29338-129,vaste commissie voor Onderwijs, Cultuur en Wetenschap
2014-02-03,31371,,379,https://zoek.officielebekendmakingen.nl/kst-31371-379,vaste commissie voor Financiën
2014-02-03,33763,,35,https://zoek.officielebekendmakingen.nl/kst-33763-35,vaste commissie voor Defensie
2014-02-03,29282,,187,https://zoek.officielebekendmakingen.nl/kst-29282-187,vaste commissie voor Volksgezondheid, Welzijn en Sport
2014-02-03,21501,08,496,https://zoek.officielebekendmakingen.nl/kst-21501-08-496,vaste commissie voor Infrastructuur en Milieu
2014-02-06,29407,,186,https://zoek.officielebekendmakingen.nl/kst-29407-186,algemene commissie voor Wonen en Rijksdienst
2014-02-06,31936,,170,https://zoek.officielebekendmakingen.nl/kst-31936-170,vaste commissie voor Infrastructuur en Milieu
2014-02-12,31532,,122,https://zoek.officielebekendmakingen.nl/kst-31532-122,vaste commissie voor Economische Zaken
2014-02-12,33552,,10,https://zoek.officielebekendmakingen.nl/kst-33552-10,vaste commissie voor Veiligheid en Justitie
2014-02-12,21501,02,1328,https://zoek.officielebekendmakingen.nl/kst-21501-02-1328,vaste commissie voor Europese Zaken
2014-02-12,31497,,119,https://zoek.officielebekendmakingen.nl/kst-31497-119,vaste commissie voor Onderwijs, Cultuur en Wetenschap
2014-02-12,27830,,124,https://zoek.officielebekendmakingen.nl/kst-27830-124,vaste commissie voor Defensie
2014-02-13,29521,,230,https://zoek.officielebekendmakingen.nl/kst-29521-230,vaste commissie voor Buitenlandse Zaken
2014-02-13,32620,,109,https://zoek.officielebekendmakingen.nl/kst-32620-109,vaste commissie voor Volksgezondheid, Welzijn en Sport
