datum,antwoord nummer,url
2013-01-02,2012D49217,https://zoek.officielebekendmakingen.nl/ah-tk-20122013-912
2013-01-02,2012D49238,https://zoek.officielebekendmakingen.nl/ah-tk-20122013-959
2013-01-02,2012D49203,https://zoek.officielebekendmakingen.nl/ah-tk-20122013-957
2013-01-02,2012D49172,https://zoek.officielebekendmakingen.nl/ah-tk-20122013-958
2013-01-02,2012D49246,https://zoek.officielebekendmakingen.nl/ah-tk-20122013-960
2013-01-07,2013D00202,https://zoek.officielebekendmakingen.nl/ah-tk-20122013-1066
2013-01-08,2013D00197,https://zoek.officielebekendmakingen.nl/ah-tk-20122013-1000
2013-01-08,2013D00279,https://zoek.officielebekendmakingen.nl/ah-tk-20122013-995
2013-01-08,2013D00296,https://zoek.officielebekendmakingen.nl/ah-tk-20122013-1002
2013-01-08,2013D00228,https://zoek.officielebekendmakingen.nl/ah-tk-20122013-1001
2013-01-08,2013D00304,https://zoek.officielebekendmakingen.nl/ah-tk-20122013-998
2013-01-09,2013D00351,https://zoek.officielebekendmakingen.nl/ah-tk-20122013-1004
2013-01-09,2013D00386,https://zoek.officielebekendmakingen.nl/ah-tk-20122013-1003
2013-01-10,2013D00469,https://zoek.officielebekendmakingen.nl/ah-tk-20122013-987
2013-01-10,2013D00474,https://zoek.officielebekendmakingen.nl/ah-tk-20122013-983
2013-01-10,2013D00449,https://zoek.officielebekendmakingen.nl/ah-tk-20122013-992
2013-01-10,2013D00501,https://zoek.officielebekendmakingen.nl/ah-tk-20122013-978
2013-01-11,2013D00574,https://zoek.officielebekendmakingen.nl/ah-tk-20122013-965
2013-01-11,2013D00593,https://zoek.officielebekendmakingen.nl/ah-tk-20122013-887
2013-01-14,2013D00776,https://zoek.officielebekendmakingen.nl/ah-tk-20122013-972
2013-01-14,2013D00733,https://zoek.officielebekendmakingen.nl/ah-tk-20122013-970
2013-01-14,2013D00695,https://zoek.officielebekendmakingen.nl/ah-tk-20122013-969
2013-01-14,2013D00723,https://zoek.officielebekendmakingen.nl/ah-tk-20122013-971
2013-01-15,2013D00867,https://zoek.officielebekendmakingen.nl/ah-tk-20122013-975
2013-01-15,2013D00803,https://zoek.officielebekendmakingen.nl/ah-tk-20122013-982
2013-01-15,2013D00844,https://zoek.officielebekendmakingen.nl/ah-tk-20122013-986
2013-01-15,2013D00875,https://zoek.officielebekendmakingen.nl/ah-tk-20122013-973
2013-01-15,2013D00917,https://zoek.officielebekendmakingen.nl/ah-tk-20122013-985
2013-01-15,2013D00876,https://zoek.officielebekendmakingen.nl/ah-tk-20122013-976
2013-01-15,2013D00715,https://zoek.officielebekendmakingen.nl/ah-tk-20122013-979
2013-01-15,2013D00843,https://zoek.officielebekendmakingen.nl/ah-tk-20122013-984
2013-01-15,2013D00711,https://zoek.officielebekendmakingen.nl/ah-tk-20122013-977
2013-01-16,2013D01013,https://zoek.officielebekendmakingen.nl/ah-tk-20122013-989
2013-01-16,2013D00991,https://zoek.officielebekendmakingen.nl/ah-tk-20122013-993
2013-01-16,2013D00986,https://zoek.officielebekendmakingen.nl/ah-tk-20122013-994
2013-01-16,2013D00922,https://zoek.officielebekendmakingen.nl/ah-tk-20122013-999
2013-01-16,2013D00927,https://zoek.officielebekendmakingen.nl/ah-tk-20122013-997
2013-01-16,2013D01042,https://zoek.officielebekendmakingen.nl/ah-tk-20122013-990
2013-01-16,2013D00930,https://zoek.officielebekendmakingen.nl/ah-tk-20122013-996
2013-01-16,2013D01264,https://zoek.officielebekendmakingen.nl/ah-tk-20122013-866
2013-01-16,2013D00973,https://zoek.officielebekendmakingen.nl/ah-tk-20122013-991
2013-01-17,2013D01481,https://zoek.officielebekendmakingen.nl/ah-tk-20122013-899
2013-01-17,2013D00933,https://zoek.officielebekendmakingen.nl/ah-tk-20122013-897
2013-01-17,2013D00925,https://zoek.officielebekendmakingen.nl/ah-tk-20122013-1010
2013-01-17,2013D01451,https://zoek.officielebekendmakingen.nl/ah-tk-20122013-900
