datum,antwoord nummer,url
2017-01-04,2017D00072,https://zoek.officielebekendmakingen.nl/ah-tk-20162017-907
2017-01-04,2017D00055,https://zoek.officielebekendmakingen.nl/ah-tk-20162017-908
2017-01-04,2017D00070,https://zoek.officielebekendmakingen.nl/ah-tk-20162017-906
2017-01-04,2017D00075,https://zoek.officielebekendmakingen.nl/ah-tk-20162017-905
2017-01-09,2016D38533,https://zoek.officielebekendmakingen.nl/ah-tk-20162017-914
2017-01-10,2017D00264,https://zoek.officielebekendmakingen.nl/ah-tk-20162017-912
2017-01-10,2017D00263,https://zoek.officielebekendmakingen.nl/ah-tk-20162017-913
2017-01-11,2017D00423,https://zoek.officielebekendmakingen.nl/ah-tk-20162017-918
2017-01-12,2016D51070,https://zoek.officielebekendmakingen.nl/ah-tk-20162017-922
2017-01-12,2016D51084,https://zoek.officielebekendmakingen.nl/ah-tk-20162017-921
2017-01-12,2017D00446,https://zoek.officielebekendmakingen.nl/ah-tk-20162017-924
2017-01-12,2016D51093,https://zoek.officielebekendmakingen.nl/ah-tk-20162017-923
2017-01-13,2017D00561,https://zoek.officielebekendmakingen.nl/ah-tk-20162017-932
2017-01-13,2017D00541,https://zoek.officielebekendmakingen.nl/ah-tk-20162017-926
2017-01-16,2017D00629,https://zoek.officielebekendmakingen.nl/ah-tk-20162017-936
2017-01-16,2017D00626,https://zoek.officielebekendmakingen.nl/ah-tk-20162017-937
2017-01-16,2017D00623,https://zoek.officielebekendmakingen.nl/ah-tk-20162017-938
2017-01-16,2017D00628,https://zoek.officielebekendmakingen.nl/ah-tk-20162017-935
2017-01-17,2017D00828,https://zoek.officielebekendmakingen.nl/ah-tk-20162017-941
2017-01-17,2017D00753,https://zoek.officielebekendmakingen.nl/ah-tk-20162017-939
2017-01-17,2017D00780,https://zoek.officielebekendmakingen.nl/ah-tk-20162017-943
2017-01-17,2017D00861,https://zoek.officielebekendmakingen.nl/ah-tk-20162017-944
2017-01-17,2017D00895,https://zoek.officielebekendmakingen.nl/ah-tk-20162017-948
2017-01-17,2017D00847,https://zoek.officielebekendmakingen.nl/ah-tk-20162017-942
2017-01-17,2017D00871,https://zoek.officielebekendmakingen.nl/ah-tk-20162017-950
2017-01-17,2017D00869,https://zoek.officielebekendmakingen.nl/ah-tk-20162017-949
2017-01-17,2017D00894,https://zoek.officielebekendmakingen.nl/ah-tk-20162017-947
2017-01-17,2017D00860,https://zoek.officielebekendmakingen.nl/ah-tk-20162017-945
2017-01-17,2017D00768,https://zoek.officielebekendmakingen.nl/ah-tk-20162017-951
2017-01-17,2017D00922,https://zoek.officielebekendmakingen.nl/ah-tk-20162017-958
2017-01-17,2016D51081,https://zoek.officielebekendmakingen.nl/ah-tk-20162017-946
2017-01-18,2017D00952,https://zoek.officielebekendmakingen.nl/ah-tk-20162017-960
2017-01-18,2017D01045,https://zoek.officielebekendmakingen.nl/ah-tk-20162017-1114
2017-01-18,2017D01076,https://zoek.officielebekendmakingen.nl/ah-tk-20162017-967
2017-01-18,2017D00947,https://zoek.officielebekendmakingen.nl/ah-tk-20162017-959
2017-01-18,2017D01049,https://zoek.officielebekendmakingen.nl/ah-tk-20162017-973
2017-01-18,2017D01194,https://zoek.officielebekendmakingen.nl/ah-tk-20162017-971
2017-01-18,2017D01046,https://zoek.officielebekendmakingen.nl/ah-tk-20162017-975
2017-01-18,2017D00938,https://zoek.officielebekendmakingen.nl/ah-tk-20162017-961
2017-01-18,2017D00972,https://zoek.officielebekendmakingen.nl/ah-tk-20162017-969
2017-01-18,2017D01050,https://zoek.officielebekendmakingen.nl/ah-tk-20162017-963
2017-01-18,2017D00967,https://zoek.officielebekendmakingen.nl/ah-tk-20162017-972
2017-01-18,2017D01027,https://zoek.officielebekendmakingen.nl/ah-tk-20162017-974
2017-01-18,2017D00978,https://zoek.officielebekendmakingen.nl/ah-tk-20162017-976
2017-01-19,2017D01205,https://zoek.officielebekendmakingen.nl/ah-tk-20162017-977
2017-01-19,2017D00893,https://zoek.officielebekendmakingen.nl/ah-tk-20162017-989
2017-01-20,2017D01508,https://zoek.officielebekendmakingen.nl/ah-tk-20162017-994
2017-01-20,2017D00876,https://zoek.officielebekendmakingen.nl/ah-tk-20162017-995
2017-01-20,2017D01465,https://zoek.officielebekendmakingen.nl/ah-tk-20162017-986
2017-01-20,2017D00877,https://zoek.officielebekendmakingen.nl/ah-tk-20162017-993
2017-01-20,2017D01458,https://zoek.officielebekendmakingen.nl/ah-tk-20162017-987
2017-01-20,2017D01349,https://zoek.officielebekendmakingen.nl/ah-tk-20162017-988
2017-01-20,2017D01350,https://zoek.officielebekendmakingen.nl/ah-tk-20162017-983
2017-01-20,2017D01342,https://zoek.officielebekendmakingen.nl/ah-tk-20162017-984
2017-01-20,2017D00838,https://zoek.officielebekendmakingen.nl/ah-tk-20162017-992
2017-01-20,2017D01289,https://zoek.officielebekendmakingen.nl/ah-tk-20162017-982
2017-01-20,2017D00837,https://zoek.officielebekendmakingen.nl/ah-tk-20162017-991
2017-01-20,2017D01466,https://zoek.officielebekendmakingen.nl/ah-tk-20162017-985
2017-01-23,2017D01409,https://zoek.officielebekendmakingen.nl/ah-tk-20162017-999
2017-01-23,2017D01721,https://zoek.officielebekendmakingen.nl/ah-tk-20162017-1005
2017-01-23,2017D01490,https://zoek.officielebekendmakingen.nl/ah-tk-20162017-1002
2017-01-23,2017D01751,https://zoek.officielebekendmakingen.nl/ah-tk-20162017-1006
2017-01-23,2017D01407,https://zoek.officielebekendmakingen.nl/ah-tk-20162017-1000
2017-01-23,2017D01750,https://zoek.officielebekendmakingen.nl/ah-tk-20162017-1004
2017-01-23,2017D01753,https://zoek.officielebekendmakingen.nl/ah-tk-20162017-998
2017-01-23,2017D01723,https://zoek.officielebekendmakingen.nl/ah-tk-20162017-1007
2017-01-23,2017D01726,https://zoek.officielebekendmakingen.nl/ah-tk-20162017-1001
2017-01-24,2017D01845,https://zoek.officielebekendmakingen.nl/ah-tk-20162017-1016
2017-01-24,2017D01857,https://zoek.officielebekendmakingen.nl/ah-tk-20162017-1014
2017-01-24,2017D02016,https://zoek.officielebekendmakingen.nl/ah-tk-20162017-1010
2017-01-24,2017D01904,https://zoek.officielebekendmakingen.nl/ah-tk-20162017-1012
2017-01-24,2017D01976,https://zoek.officielebekendmakingen.nl/ah-tk-20162017-1011
2017-01-24,2017D01854,https://zoek.officielebekendmakingen.nl/ah-tk-20162017-1015
2017-01-25,2017D01722,https://zoek.officielebekendmakingen.nl/ah-tk-20162017-1037
2017-01-25,2017D02121,
2017-01-25,2017D02040,https://zoek.officielebekendmakingen.nl/ah-tk-20162017-1026
2017-01-25,2017D01799,https://zoek.officielebekendmakingen.nl/ah-tk-20162017-1038
2017-01-25,2017D02047,https://zoek.officielebekendmakingen.nl/ah-tk-20162017-1017
2017-01-25,2017D01991,https://zoek.officielebekendmakingen.nl/ah-tk-20162017-1043
2017-01-25,2017D02049,https://zoek.officielebekendmakingen.nl/ah-tk-20162017-1036
2017-01-25,2017D01929,https://zoek.officielebekendmakingen.nl/ah-tk-20162017-1040
2017-01-25,2017D01970,https://zoek.officielebekendmakingen.nl/ah-tk-20162017-1034
2017-01-25,2017D01886,https://zoek.officielebekendmakingen.nl/ah-tk-20162017-1021
2017-01-25,2017D01985,https://zoek.officielebekendmakingen.nl/ah-tk-20162017-1024
2017-01-25,2017D01882,https://zoek.officielebekendmakingen.nl/ah-tk-20162017-1023
2017-01-25,2017D02078,https://zoek.officielebekendmakingen.nl/ah-tk-20162017-1041
2017-01-25,2017D02051,https://zoek.officielebekendmakingen.nl/ah-tk-20162017-1035
2017-01-25,2017D02042,https://zoek.officielebekendmakingen.nl/ah-tk-20162017-1025
2017-01-25,2017D01855,https://zoek.officielebekendmakingen.nl/ah-tk-20162017-1039
2017-01-26,2017D02258,https://zoek.officielebekendmakingen.nl/ah-tk-20162017-1028
2017-01-26,2017D02267,https://zoek.officielebekendmakingen.nl/ah-tk-20162017-1031
2017-01-26,2017D02257,https://zoek.officielebekendmakingen.nl/ah-tk-20162017-1027
2017-01-26,2017D02216,https://zoek.officielebekendmakingen.nl/ah-tk-20162017-1030
2017-01-26,2017D02207,https://zoek.officielebekendmakingen.nl/ah-tk-20162017-1020
2017-01-26,2017D02170,https://zoek.officielebekendmakingen.nl/ah-tk-20162017-1033
2017-01-26,2017D02154,https://zoek.officielebekendmakingen.nl/ah-tk-20162017-1019
2017-01-26,2017D02175,https://zoek.officielebekendmakingen.nl/ah-tk-20162017-1018
2017-01-26,2017D02211,https://zoek.officielebekendmakingen.nl/ah-tk-20162017-1029
2017-01-27,2017D02525,https://zoek.officielebekendmakingen.nl/ah-tk-20162017-1057
2017-01-27,2017D02507,https://zoek.officielebekendmakingen.nl/ah-tk-20162017-1065
2017-01-27,2017D02209,https://zoek.officielebekendmakingen.nl/ah-tk-20162017-1050
2017-01-27,2017D02523,https://zoek.officielebekendmakingen.nl/ah-tk-20162017-1059
2017-01-27,2017D02179,https://zoek.officielebekendmakingen.nl/ah-tk-20162017-1055
2017-01-27,2017D02352,https://zoek.officielebekendmakingen.nl/ah-tk-20162017-1045
2017-01-27,2017D02509,https://zoek.officielebekendmakingen.nl/ah-tk-20162017-1064
2017-01-27,2017D02414,https://zoek.officielebekendmakingen.nl/ah-tk-20162017-1058
2017-01-27,2017D02322,https://zoek.officielebekendmakingen.nl/ah-tk-20162017-1054
2017-01-27,2017D02506,https://zoek.officielebekendmakingen.nl/ah-tk-20162017-1063
2017-01-27,2017D02239,https://zoek.officielebekendmakingen.nl/ah-tk-20162017-1062
2017-01-27,2017D02353,https://zoek.officielebekendmakingen.nl/ah-tk-20162017-1047
2017-01-27,2017D02243,https://zoek.officielebekendmakingen.nl/ah-tk-20162017-1061
2017-01-27,2017D02390,https://zoek.officielebekendmakingen.nl/ah-tk-20162017-1049
2017-01-27,2017D02500,https://zoek.officielebekendmakingen.nl/ah-tk-20162017-1066
2017-01-27,2017D02300,https://zoek.officielebekendmakingen.nl/ah-tk-20162017-1052
2017-01-27,2017D02374,https://zoek.officielebekendmakingen.nl/ah-tk-20162017-1051
2017-01-27,2017D02291,https://zoek.officielebekendmakingen.nl/ah-tk-20162017-1053
2017-01-30,2017D02731,https://zoek.officielebekendmakingen.nl/ah-tk-20162017-1082
2017-01-30,2017D01868,https://zoek.officielebekendmakingen.nl/ah-tk-20162017-1075
2017-01-30,2017D02622,https://zoek.officielebekendmakingen.nl/ah-tk-20162017-1074
2017-01-30,2017D02637,https://zoek.officielebekendmakingen.nl/ah-tk-20162017-1073
2017-01-30,2017D02511,https://zoek.officielebekendmakingen.nl/ah-tk-20162017-1068
2017-01-30,2017D02629,https://zoek.officielebekendmakingen.nl/ah-tk-20162017-1067
2017-01-30,2017D02518,https://zoek.officielebekendmakingen.nl/ah-tk-20162017-1083
2017-01-30,2017D02616,https://zoek.officielebekendmakingen.nl/ah-tk-20162017-1084
2017-01-30,2017D02640,https://zoek.officielebekendmakingen.nl/ah-tk-20162017-1048
2017-01-30,2017D02639,https://zoek.officielebekendmakingen.nl/ah-tk-20162017-1072
