datum,antwoord nummer,url
2008-04-29,2009D22002,
2008-05-15,2008D01279,
2008-05-20,2008D01204,https://zoek.officielebekendmakingen.nl/ah-tk-20072008-1
2008-06-04,2008D01207,https://zoek.officielebekendmakingen.nl/ah-tk-20072008-2632
2008-06-24,2008D01210,https://zoek.officielebekendmakingen.nl/ah-tk-20072008-2766
2008-06-26,2008D01528,https://zoek.officielebekendmakingen.nl/ah-tk-20072008-2847
2008-07-02,2008D01226,https://zoek.officielebekendmakingen.nl/ah-tk-20072008-2942
2008-07-02,2008D01214,https://zoek.officielebekendmakingen.nl/ah-tk-20072008-2939
2008-08-22,2008D22623,
2008-08-29,2008D02259,
2008-08-29,2008D01717,
2008-08-29,2008D01719,
2008-08-29,2008D01721,
2008-08-29,2008D02753,
2008-08-29,2008D01724,
2008-09-01,2008D01984,
2008-09-01,2008D01963,
2008-09-01,2008D01914,
2008-09-01,2008D01881,
2008-09-01,2008D02188,
2008-09-01,2008D01802,
2008-09-01,2008D01892,
2008-09-01,2008D02237,
2008-09-01,2008D01934,
2008-09-01,2008D01901,
2008-09-01,2008D01855,
2008-09-01,2008D01900,
2008-09-01,2008D01782,
2008-09-01,2008D01899,
2008-09-01,2008D01929,
2008-09-02,2008D02113,
2008-09-02,2008D02025,
2008-09-02,2008D02117,
2008-09-02,2008D01935,
2008-09-02,2008D02763,
2008-09-02,2008D01986,
2008-09-02,2008D02079,
2008-09-02,2008D02084,
2008-09-03,2008D02370,
2008-09-03,2008D02386,
2008-09-03,2008D02378,
2008-09-03,2008D02359,
2008-09-03,2008D02311,
2008-09-03,2008D02358,
2008-09-03,2008D02379,
2008-09-03,2008D02288,
2008-09-03,2008D02159,
2008-09-03,2008D02272,
2008-09-03,2008D02239,
2008-09-04,2008D02477,
2008-09-04,2008D02471,
2008-09-04,2008D02673,
2008-09-04,2008D02474,
2008-09-04,2008D02473,
2008-09-04,2008D02527,
2008-09-04,2008D02569,
2008-09-04,2008D02701,
2008-09-04,2008D02466,
2008-09-05,2008D02662,
2008-09-05,2008D02817,
2008-09-05,2008D02664,
2008-09-05,2008D02863,
2008-09-05,2008D02851,
2008-09-05,2008D02660,
2008-09-05,2008D02862,
2008-09-05,2008D02816,
2008-09-08,2008D03026,
2008-09-08,2008D03087,
2008-09-08,2008D02999,
2008-09-08,2008D02916,
2008-09-08,2008D02917,
2008-09-08,2008D03119,
2008-09-08,2008D03011,
2008-09-08,2008D03047,
2008-09-08,2008D02979,
2008-09-08,2008D03088,
2008-09-08,2008D02901,
2008-09-08,2008D02918,
2008-09-08,2008D03090,
2008-09-08,2008D03029,
2008-09-08,2008D03091,
2008-09-08,2008D03094,
