datum,antwoord nummer,url
2015-01-07,2015D00079,https://zoek.officielebekendmakingen.nl/ah-tk-20142015-969
2015-01-07,2015D00086,https://zoek.officielebekendmakingen.nl/ah-tk-20142015-970
2015-01-08,2015D00128,https://zoek.officielebekendmakingen.nl/ah-tk-20142015-974
2015-01-08,2015D00269,https://zoek.officielebekendmakingen.nl/ah-tk-20142015-977
2015-01-08,2015D00164,https://zoek.officielebekendmakingen.nl/ah-tk-20142015-975
2015-01-08,2014D47804,https://zoek.officielebekendmakingen.nl/ah-tk-20142015-972
2015-01-08,2014D47805,https://zoek.officielebekendmakingen.nl/ah-tk-20142015-973
2015-01-08,2015D00149,https://zoek.officielebekendmakingen.nl/ah-tk-20142015-976
2015-01-09,2015D00208,https://zoek.officielebekendmakingen.nl/ah-tk-20142015-979
2015-01-09,2015D01138,https://zoek.officielebekendmakingen.nl/ah-tk-20142015-1044
2015-01-12,2015D00312,https://zoek.officielebekendmakingen.nl/ah-tk-20142015-991
2015-01-12,2015D00405,https://zoek.officielebekendmakingen.nl/ah-tk-20142015-992
2015-01-12,2015D00404,https://zoek.officielebekendmakingen.nl/ah-tk-20142015-989
2015-01-12,2015D00492,https://zoek.officielebekendmakingen.nl/ah-tk-20142015-987
2015-01-12,2015D00496,https://zoek.officielebekendmakingen.nl/ah-tk-20142015-986
2015-01-12,2015D00413,https://zoek.officielebekendmakingen.nl/ah-tk-20142015-988
2015-01-12,2015D00473,https://zoek.officielebekendmakingen.nl/ah-tk-20142015-995
2015-01-12,2015D00429,https://zoek.officielebekendmakingen.nl/ah-tk-20142015-993
2015-01-12,2015D00431,https://zoek.officielebekendmakingen.nl/ah-tk-20142015-990
2015-01-12,2015D00430,https://zoek.officielebekendmakingen.nl/ah-tk-20142015-994
2015-01-13,2015D00440,https://zoek.officielebekendmakingen.nl/ah-tk-20142015-1006
2015-01-13,2015D00471,https://zoek.officielebekendmakingen.nl/ah-tk-20142015-996
2015-01-13,2015D00568,https://zoek.officielebekendmakingen.nl/ah-tk-20142015-1014
2015-01-13,2015D00571,https://zoek.officielebekendmakingen.nl/ah-tk-20142015-1009
2015-01-13,2015D00570,https://zoek.officielebekendmakingen.nl/ah-tk-20142015-1015
2015-01-13,2015D00500,https://zoek.officielebekendmakingen.nl/ah-tk-20142015-997
2015-01-13,2015D00502,https://zoek.officielebekendmakingen.nl/ah-tk-20142015-1010
2015-01-13,2015D00491,https://zoek.officielebekendmakingen.nl/ah-tk-20142015-999
2015-01-13,2015D00573,https://zoek.officielebekendmakingen.nl/ah-tk-20142015-1013
2015-01-13,2015D00574,https://zoek.officielebekendmakingen.nl/ah-tk-20142015-1012
2015-01-13,2015D00511,https://zoek.officielebekendmakingen.nl/ah-tk-20142015-998
2015-01-14,2015D00691,https://zoek.officielebekendmakingen.nl/ah-tk-20142015-1037
2015-01-14,2015D00655,https://zoek.officielebekendmakingen.nl/ah-tk-20142015-1039
2015-01-14,2015D00779,https://zoek.officielebekendmakingen.nl/ah-tk-20142015-1035
2015-01-14,2015D00666,https://zoek.officielebekendmakingen.nl/ah-tk-20142015-1020
2015-01-14,2015D00643,https://zoek.officielebekendmakingen.nl/ah-tk-20142015-1040
2015-01-14,2015D00783,https://zoek.officielebekendmakingen.nl/ah-tk-20142015-1029
2015-01-14,2015D00704,https://zoek.officielebekendmakingen.nl/ah-tk-20142015-1021
2015-01-14,2015D00652,https://zoek.officielebekendmakingen.nl/ah-tk-20142015-1038
2015-01-14,2015D00765,https://zoek.officielebekendmakingen.nl/ah-tk-20142015-1034
2015-01-14,2015D00778,https://zoek.officielebekendmakingen.nl/ah-tk-20142015-1036
2015-01-14,2015D00644,https://zoek.officielebekendmakingen.nl/ah-tk-20142015-1031
2015-01-14,2015D00753,https://zoek.officielebekendmakingen.nl/ah-tk-20142015-1028
2015-01-14,2015D00732,https://zoek.officielebekendmakingen.nl/ah-tk-20142015-1033
2015-01-14,2015D00762,https://zoek.officielebekendmakingen.nl/ah-tk-20142015-1030
2015-01-14,2015D00650,https://zoek.officielebekendmakingen.nl/ah-tk-20142015-1032
2015-01-14,2015D00651,https://zoek.officielebekendmakingen.nl/ah-tk-20142015-1019
2015-01-15,2015D00883,https://zoek.officielebekendmakingen.nl/ah-tk-20142015-1041
2015-01-15,2015D00900,https://zoek.officielebekendmakingen.nl/ah-tk-20142015-1047
2015-01-15,2015D00979,https://zoek.officielebekendmakingen.nl/ah-tk-20142015-1048
2015-01-15,2015D00866,https://zoek.officielebekendmakingen.nl/ah-tk-20142015-1043
2015-01-15,2015D00863,https://zoek.officielebekendmakingen.nl/ah-tk-20142015-1042
2015-01-15,2015D01051,https://zoek.officielebekendmakingen.nl/ah-tk-20142015-1045
2015-01-15,2015D00993,https://zoek.officielebekendmakingen.nl/ah-tk-20142015-1046
2015-01-16,2015D01095,https://zoek.officielebekendmakingen.nl/ah-tk-20142015-1053
2015-01-16,2015D01120,https://zoek.officielebekendmakingen.nl/ah-tk-20142015-1055
2015-01-16,2015D01097,https://zoek.officielebekendmakingen.nl/ah-tk-20142015-1051
